Security Policy: KRIS10-PUBFW-Rule	-
NO.	SOURCE
1	Blacklisted_Grp
2	OneID_blacklist
3	Host_157.7.52.187
-	-
4	Blk_168.126.99.67
5	Host_112.216.53.58
-	Host_39.118.53.141
6	Net_10.202.184.0
-	Net_10.202.185.0
-	Net_10.202.186.0
-	Net_10.202.187.0
-	Net_10.202.208.0
-	Net_10.202.209.0
-	Net_10.202.210.0
-	Net_10.202.211.0
-	Net_10.202.212.0
-	Net_10.202.213.0
-	Net_10.202.214.0
-	Net_10.202.215.0
-	Net_10.202.232.0
-	Net_10.202.233.0
-	Net_10.202.234.0
-	Net_10.202.235.0
-	Net_10.202.236.0
-	Net_10.202.237.0
-	Net_10.202.238.0
-	Net_10.202.239.0
Firewall Management	-
7	Host_10.10.68.71
-	Host_10.10.68.72
-	-
-	-
-	-
8	Commerce_Network_Devices
-	-
-	-
-	-
9	KRIS10-MGTS01-380M
-	KRIS10-PUBF-CXL
-	KRIS10-B2BF-CXL
-	KRIS10-MGTF-12600-CXL
-	-
-	-
-	-
-	-
-	-
-	-
-	-
10	Any
-	-
-	-
-	-
11	Any
-	-
-	-
-	-
12	KRIS10-MGTS01-380M
-	KRIS10-PUBF-CXL
-	KRIS10-B2BF-CXL
-	KRIS10-MGTF-12600-CXL
13	Adm_10.40.54.56
-	-
-	-
-	-
-	-
14	Commerce_Network_Devices
-	IS_Network_Devices
-	SS_Network_Devices
-	Commerce_TACACS_Grp
-	SS_TACACS_Grp
-	-
-	-
15	KRIS10-MGTS01-380M
-	KRIS10-PUBF-CXL
-	KRIS10-B2BF-CXL
-	KRIS10-MGTF-12600-CXL
General Server Management	-
16	Net_10.10.75.32_27
-	Net_10.251.11.32_27
-	Net_10.10.75.0
17	SVDI_All_User
-	-
-	-
18	DevZone_172.21.32.0
-	DB-Zone-Network
-	MGMT-Zone-Network
-	WEB-Zone-Network
-	DEV-Zone-Network
19	MGMTc-repo1_10.10.64.20_12600
-	-
-	-
-	-
20	DevZone_172.21.32.0
-	DB-Zone-Network
-	MGMT-Zone-Network
-	WEB-Zone-Network
21	MGMTc-zabbix01_10.10.68.39_12600
-	-
-	-
-	-
-	-
-	-
-	-
-	-
22	DevZone_172.21.32.0
-	DB-Zone-Network
-	MGMT-Zone-Network
-	WEB-Zone-Network
23	APC1_10.10.100.58
-	APC2_10.10.100.59
-	-
-	-
24	DevZone_172.21.32.0
-	DB-Zone-Network
-	MGMT-Zone-Network
-	WEB-Zone-Network
25	DevZone_172.21.32.0
-	DB-Zone-Network
-	MGMT-Zone-Network
-	WEB-Zone-Network
26	DevZone_172.21.32.0
-	DB-Zone-Network
-	MGMT-Zone-Network
-	WEB-Zone-Network
27	DevZone_172.21.32.0
-	DB-Zone-Network
-	MGMT-Zone-Network
